Number,Status,Phone,Location,Location2,Name,Categorie,Row,Col
144,영업/정상,없음,충청남도 천안시 동남구 목천읍 지산리 157-6번지 1층 ,"충청남도 천안시 동남구 목천읍 교천지산길 284-6, 1층",황칠가카페,커피숍,36.79190057,127.1924863
145,영업/정상,041 574 5442,충청남도 천안시 동남구 신방동 1898번지 1층 ,"충청남도 천안시 동남구 통정5로 48, 1층 (신방동)",이디야커피천안신방점,커피숍,36.77365708,127.1326501
146,영업/정상,041 566 1369,충청남도 천안시 서북구 성정동 1486번지 롯데마트성정점 3층 ,"충청남도 천안시 서북구 성정두정로 1, 3층 (성정동, 롯데마트성정점)",리틀팝,커피숍,36.82619672,127.1399629
147,영업/정상,041 568 9919,충청남도 천안시 서북구 두정동 831번지 1동(1층) ,"충청남도 천안시 서북구 원두정2길 2 (두정동,1동(1층))",탐앤탐스두정점,커피숍,36.83050903,127.1355708
148,영업/정상,041 576 4700,충청남도 천안시 서북구 쌍용동 955번지 1층 ,"충청남도 천안시 서북구 미라13길 16, 1층 (쌍용동)",할리스커피쌍용점,커피숍,36.80513539,127.130429
149,영업/정상,0507-1361-8116,충청남도 천안시 동남구 봉명동 216-8번지 외 1필지 순천향대학교천안병원 1동 2층 ,"충청남도 천안시 동남구 순천향6길 31, 1동 2층 (봉명동, 순천향대학교천안병원)",도피오커피순천향대병원외래진료관점,커피숍,36.80278862,127.1353368
150,영업/정상,0507-1404-0503,충청남도 천안시 서북구 두정동 1524번지 ,"충청남도 천안시 서북구 성정두정로 98, 1층 (두정동)",커피바이블,커피숍,36.83426564,127.1420939
151,영업/정상,041-565-7900,충청남도 천안시 서북구 불당동 1529번지 ,"충청남도 천안시 서북구 불당26로 100-20, 1층 110호 (불당동)",카페이디야천안신불당점,커피숍,x,x
152,영업/정상,없음,"충청남도 천안시 동남구 신부동 354-1번지 외61필지, 본관2동 2층 ","충청남도 천안시 동남구 만남로 43, 본관2동 2층 (신부동)",베브릿지신세계천안점,커피숍,36.82042291,127.1566687
153,영업/정상,0507-1498-0302,충청남도 천안시 동남구 목천읍 신계리 291-4번지 1층 108호,"충청남도 천안시 동남구 목천읍 충절로 869, 1층 108호",듀오0301,커피숍,36.77217112,127.2076751
154,영업/정상,041-565-8875,충청남도 천안시 동남구 신부동 454-2번지 1층 ,"충청남도 천안시 동남구 만남로 20, 1층 (신부동)",메가커피,커피숍,36.81847686,127.1542734
155,영업/정상,041 555 9027,충청남도 천안시 동남구 구성동 526번지 1동 2층 ,"충청남도 천안시 동남구 대흥로 57, 1동 2층 (구성동)",카페2층,커피숍,36.79787862,127.1550443
156,영업/정상,041-567-4079,충청남도 천안시 서북구 불당동 1694번지 ,"충청남도 천안시 서북구 불당32길 24, 1층 (불당동)",이디야천안불당신도시점,커피숍,36.80844538,127.1053742
157,영업/정상,041-522-5024,충청남도 천안시 동남구 청당동 549번지 1층 ,"충청남도 천안시 동남구 청수5로 10, 1층 (청당동)",할리스커피동천안우체국점,커피숍,36.78384003,127.1549852
158,영업/정상,041 590 2350,충청남도 천안시 동남구 청당동 481 1동 1층 ,"충청남도 천안시 동남구 청수6로 73, 1동 1층 (청당동)",카페디엔어울림,커피숍,36.78668428,127.1560417
159,영업/정상,041-561-0039,충청남도 천안시 서북구 두정동 1163번지 ,"충청남도 천안시 서북구 두정중9길 11-1, 1층 (두정동)",디저트39,커피숍,36.83701093,127.1395551
160,영업/정상, 041 5564005,충청남도 천안시 서북구 불당동 1487번지 ,"충청남도 천안시 서북구 불당25로 192, 1층 115호 (불당동, 골든프라자2)",메가커피,커피숍,x,x
161,영업/정상,041-555-3120,충청남도 천안시 동남구 목천읍 천정리 109-5번지 1층 102호 ,"충청남도 천안시 동남구 목천읍 성남로 19, 1층 102호",동네커피,커피숍,36.76956741,127.2071581
162,영업/정상, 041 5574000,충청남도 천안시 서북구 성거읍 요방리 121 외4필지 ,"충청남도 천안시 서북구 성거읍 돌다리길 23-37, 1층 (망향(부산방향)휴게소 I동)",(주)제이에스물산커피니앤비비큐,커피숍,36.85512542,127.1806302
163,영업/정상, 041 6210930,충청남도 천안시 서북구 성성동 364-3 외1필지 ,"충청남도 천안시 서북구 공단로 98, 1~2층 (성성동)",파크,커피숍,x,x
164,영업/정상,070 77788125,"충청남도 천안시 동남구 풍세면 용정리 764-19 외 1필지, 2동 1층 ","충청남도 천안시 동남구 풍세면 한우물2길 90, 2동 1층",풍세커피,커피숍,36.73835845,127.1066995
165,영업/정상,0707 8188008,충청남도 천안시 동남구 봉명동 23-31번지 1층 ,"충청남도 천안시 동남구 순천향3길 52, 1층 (봉명동)",더채움,커피숍,36.80197018,127.1365558
166,영업/정상, 041 6213927,충청남도 천안시 서북구 두정동 604번지 ,"충청남도 천안시 서북구 오성로 18, 1층 (두정동, 천안명성교회)",카페헤븐,커피숍,36.83007963,127.1291693
167,영업/정상,0507-1319-7815,충청남도 천안시 서북구 성환읍 성환리 449-176번지 ,"충청남도 천안시 서북구 성환읍 성환중앙로 27, 1층",정연이타로이야기,커피숍,36.91640518,127.1295988
168,영업/정상,041-558-4717,충청남도 천안시 서북구 두정동 1170번지 외1필지 ,"충청남도 천안시 서북구 두정중10길 8, 1층 (두정동)",다님길커피,커피숍,36.83722302,127.1398612
169,영업/정상,041-523-4865,충청남도 천안시 동남구 목천읍 신계리 332-2번지 1동 1층 ,"충청남도 천안시 동남구 목천읍 충절로 852, 1동 1층",이베노가,커피숍,36.77070797,127.2063676
170,영업/정상,0507-1418-9314,충남 천안시 서북구 두정동 1466 1층,충남 천안시 서북구 성정두정로 82 1층복사,러브유레이틀리,커피숍,x,x
171,영업/정상,041 557 6051,충청남도 천안시 동남구 목천읍 신계리 88-22번지 ,"충청남도 천안시 동남구 목천읍 남부대로 949, 1층",아날로그커피,커피숍,36.77478327,127.2199513
172,영업/정상, 041 5575556,충청남도 천안시 서북구 불당동 1638 ,"충청남도 천안시 서북구 불당33길 7, 1~2층 106,204호 (불당동, 베스트타워)",카페맘마누,커피숍,x,x
173,영업/정상,041-558-8497,충청남도 천안시 서북구 불당동 1762번지 ,"충청남도 천안시 서북구 불당30길 42, 1층 (불당동)",골든로우프,커피숍,36.81043891,127.1042779
174,영업/정상,0507-1307-7015,"충청남도 천안시 동남구 신방동 65-15번지 1층, 2층 ","충청남도 천안시 동남구 서부대로 247-10, 1층, 2층 (신방동)",마리웨일237신방점,커피숍,36.79046133,127.1278708
175,영업/정상,041-900-2003,충청남도 천안시 서북구 성정동 652-12번지 1층 나동 ,"충청남도 천안시 서북구 서부16길 20, 나동 1층 (성정동)",봉구커피,커피숍,36.822723,127.1385341
176,영업/정상,041-565-4020,충청남도 천안시 동남구 청당동 506번지 1층 106호 ,"충청남도 천안시 동남구 청수5로 3, 1층 106호 (청당동)",우주라이크천안법원점,커피숍,36.77794402,127.1586375
177,영업/정상,041 550 2269,충청남도 천안시 동남구 안서동 115 외16필지 1층 14동 ,"충청남도 천안시 동남구 문암로 76, 14동 1층 (안서동)",카페뷰리백석대학교분수광장점,커피숍,36.84021698,127.1850163
178,영업/정상,041 550 2269,충청남도 천안시 동남구 안서동 115 외16필지 1층 15동 ,"충청남도 천안시 동남구 문암로 76, 15동 1층 (안서동)",카페뷰리백석대학교조형관점,커피숍,36.84021698,127.1850163
179,영업/정상, 041 5679886,충청남도 천안시 서북구 불당동 739번지 ,"충청남도 천안시 서북구 불당4로 91, 1층 102,103,104호 (불당동)",스타벅스천안불당점,커피숍,36.81002014,127.1111084
180,영업/정상,0507-1405-1408,충남 천안시 동남구 신부동 347-1 신세계백화점 충청점 본관 1동 1층,충남 천안시 동남구 만남로 43 신세계백화점 충청점 본관 1동 1층,제주스천안지점,커피숍,x,x
182,영업/정상,041 568 1133,충청남도 천안시 동남구 청당동 551번지 ,"충청남도 천안시 동남구 청수14로 96, 1층 (청당동)",토프레소천안청당점,커피숍,36.78529047,127.156808
183,영업/정상,041 578 4076,충청남도 천안시 서북구 쌍용동 456번지 나사렛대학교제2창학관 ,"충청남도 천안시 서북구 쌍용19로 3, 303~304호 (쌍용동, 나사렛대학교제2창학관)",바이올렛,커피숍,36.79593083,127.1194682
184,영업/정상,041 555 0814,충청남도 천안시 동남구 신부동 451-1번지 외1필지 ,"충청남도 천안시 동남구 만남로 6, 1층 (신부동)",드롭탑신부점,커피숍,37.33594948,126.8111457
185,영업/정상,041 523 9114,충청남도 천안시 서북구 두정동 1327번지 ,"충청남도 천안시 서북구 두정상가8길 30, 1층 103호 (두정동)",카페두다트,커피숍,x,x
186,영업/정상,041-554-0011,충청남도 천안시 서북구 두정동 1036번지 ,"충청남도 천안시 서북구 부성6길 39-11, 1층 (두정동)",카페브로,커피숍,36.83656742,127.1379019
187,영업/정상, 041 5813887,충청남도 천안시 서북구 성환읍 성월리 64-2번지 ,"충청남도 천안시 서북구 성환읍 성진로 55, 1층",남서울대이디아커피점,커피숍,x,x
188,영업/정상,041-579-7799,충청남도 천안시 서북구 쌍용동 707번지 ,"충청남도 천안시 서북구 쌍용14길 31, 1층 (쌍용동, 하니빌)",커피707,커피숍,36.79811687,127.1205035
189,영업/정상,041-574-2020,충청남도 천안시 동남구 신방동 521-1번지 1층 ,"충청남도 천안시 동남구 신방통정로 44, 1층 (신방동)",투썸플레이스통정점,커피숍,x,x
190,영업/정상,041-554-5001,충청남도 천안시 동남구 대흥동 124-5번지 외 1필지 1층 ,"충청남도 천안시 동남구 대흥로 231, 1층 (대흥동)",쥬씨천안역점,커피숍,36.80880512,127.1477085
191,영업/정상,041-573-8880,충청남도 천안시 서북구 쌍용동 879 ,"충청남도 천안시 서북구 미라2길 90, 1층 (쌍용동)",꽈배기친구들,커피숍,36.80744677,127.1308504
192,영업/정상,041-577-5511,충청남도 천안시 동남구 신방동 49-16번지 1층 ,"충청남도 천안시 동남구 수곡2길 5, 1층 (신방동)",엔제리너스신방점,커피숍,36.78872284,127.1278902
193,영업/정상,070 70927065,충청남도 천안시 동남구 대흥동 57-1 3층 ,"충청남도 천안시 동남구 대흥로 239, 3층 (대흥동)",델리와플,커피숍,x,x
194,영업/정상,041-554-2345,충청남도 천안시 서북구 두정동 160번지 ,"충청남도 천안시 서북구 봉정로 362, 1층 (두정동)",메가커피,커피숍,36.83439864,127.1458419
195,영업/정상,041 558 9961,충청남도 천안시 동남구 신부동 354-1 외 61필지 본관2동 ,"충청남도 천안시 동남구 만남로 43, 본관2동 5층 (신부동)",카페공간학,커피숍,x,x
196,영업/정상,070 81841229,충청남도 천안시 동남구 영성동 24-4번지 1층 ,"충청남도 천안시 동남구 수선정길 19-1, 1층 (영성동)",아이엠커피,커피숍,36.80383765,127.1511217
197,영업/정상,041-565-3999,충청남도 천안시 서북구 성정동 1324번지 ,"충청남도 천안시 서북구 성정공원7길 9, 모아엘가워너비 1층 101(일부)호 (성정동)",카페그리고,커피숍,36.82969101,127.1419735
198,영업/정상, 041 5751826,충청남도 천안시 서북구 쌍용동 413-13 ,"충청남도 천안시 서북구 쌍용14길 46-24, 1층 (쌍용동)",가비,커피숍,x,x
199,영업/정상,041-551-2648,충청남도 천안시 동남구 유량동 9-3번지 2층 ,"충청남도 천안시 동남구 태조산길 264, 2층 (유량동)",커피동경,커피숍,36.82069424,127.1885017
200,영업/정상,041 556 6606,충청남도 천안시 동남구 병천면 병천리 120-3번지 1층 ,"충청남도 천안시 동남구 병천면 병천2로 51, 1층",은빛카페휴,커피숍,36.76610798,127.3022535
201,영업/정상,041 552 7172,"충청남도 천안시 동남구 유량동 158번지 1층, 2층 ","충청남도 천안시 동남구 양지말1길 11-1, 1층,2층 (유량동)",까페길목,커피숍,36.81525412,127.1845512
202,영업/정상,041 555 4439,충청남도 천안시 동남구 풍세면 삼태리 267-6번지 1층 ,"충청남도 천안시 동남구 풍세면 태학산로 496, 1층",크리스마스,커피숍,36.73607141,127.0859268
203,영업/정상,0507-1411-8277,충청남도 천안시 동남구 신부동 491-13번지 1층 ,"충청남도 천안시 동남구 신부13길 1, 1층 (신부동)",나이스앤이지,커피숍,36.81864542,127.1608029
204,영업/정상,0507-1436-5598,충청남도 천안시 동남구 용곡동 464-27번지 1층 ,"충청남도 천안시 동남구 용곡5길 37-4, 1층 (용곡동)",투썸플레이스천안용곡점,커피숍,36.79189158,127.1406745
205,영업/정상,041-577-1965,충청남도 천안시 서북구 쌍용동 1965번지 ,"충청남도 천안시 서북구 쌍용11길 18-1, 1층 (쌍용동)",카페수,커피숍,36.80243606,127.1207565
206,영업/정상,010-4826-7268,충청남도 천안시 동남구 신부동 453-3번지 1층 ,"충청남도 천안시 동남구 먹거리2길 5, 1층 (신부동)",언아더,커피숍,36.81764776,127.1538164
207,영업/정상,041 622 8305,충청남도 천안시 동남구 안서동 447-1 외 15필지 ,"충청남도 천안시 동남구 망향로 195, 1,2층 (안서동)",투썸플레이스천안안서점,커피숍,36.84060727,127.1740827
208,영업/정상,041-555-0821,충청남도 천안시 서북구 백석동 1172 ,"충청남도 천안시 서북구 한들3로 35-11, 1층 (백석동)",카페드몬몽,커피숍,x,x
209,영업/정상,0507-1311-1283,충청남도 천안시 동남구 영성동 7-4번지 1층 ,"충청남도 천안시 동남구 수선정길 31, 1층 (영성동)",바닐라봉봉,커피숍,36.80372995,127.1525985
210,영업/정상,010-2207-2530,"충청남도 천안시 동남구 안서동 468-5번지 2동 지하1층, 1층 ","충청남도 천안시 동남구 천호지길 27, 2동 지하1층, 1층 (안서동)",지로스터커피,커피숍,36.835793,127.1730287
211,영업/정상,041 565 7500,충청남도 천안시 서북구 백석동 361-11번지 ,"충청남도 천안시 서북구 한들1로 55-48, 1층 (백석동)",카페정원,커피숍,36.82562726,127.1153299
212,영업/정상,041-578-4242,충남 천안시 동남구 신방동 1531,충남 천안시 동남구 통정4로 8,세나클,커피숍,36.77403162,127.1314358
213,영업/정상,041 584 8220,충청남도 천안시 서북구 성거읍 모전리 360번지 1층 ,"충청남도 천안시 서북구 성거읍 성진로 654, 1층",커피원,커피숍,36.91230596,127.2035961
214,영업/정상,041 553 2863,충청남도 천안시 서북구 성정동 1322 ,"충청남도 천안시 서북구 성정두정로 35, 1층 104호 (성정동)",리치블랙,커피숍,36.82867991,127.1410504
215,영업/정상,없음,충청남도 천안시 서북구 쌍용동 1395번지 ,"충청남도 천안시 서북구 쌍용14길 9, 1층 (쌍용동)",무니,커피숍,36.8000385,127.1206199
216,영업/정상,041 577 3808,충청남도 천안시 서북구 쌍용동 838번지 ,"충청남도 천안시 서북구 봉명로 19, 1층 (쌍용동)",더커피,커피숍,x,x
217,영업/정상, 041 5852279,충청남도 천안시 서북구 성환읍 매주리 304-5번지 ,"충청남도 천안시 서북구 성환읍 연암율금로 512-10, 1층",카페코발트,커피숍,36.91097647,127.134886
218,영업/정상,041 522 1696,충청남도 천안시 동남구 청당동 801 1층 ,"충청남도 천안시 동남구 청수13로 14, 1층 (청당동)",투썸플레이스천안청수행정타운점,커피숍,x,x
219,영업/정상,041-550-5760,충청남도 천안시 동남구 풍세면 용정리 976번지 1층 집단급식소 내 휴게음식점 ,"충청남도 천안시 동남구 풍세면 풍세산단로 26, 1층 (집단급식소 내 휴게음식점)",이랜드리테일카페베즐리,커피숍,x,x
220,영업/정상,없음,충남 천안시 동남구 신부동 363-2 신세계백화점 충청점 4층,충남 천안시 동남구 만남로 43 신세계백화점 충청점 4층,공차천안야우리점,커피숍,36.81999135,127.1550222
221,영업/정상,0507-1355-5207,충청남도 천안시 서북구 불당동 1638번지 ,"충청남도 천안시 서북구 불당33길 7, 1층 102호 (불당동, 베스트타워)",카페맘마누,커피숍,x,x
222,영업/정상, 041 4150206,충청남도 천안시 동남구 신부동 305-6번지 1층 ,"충청남도 천안시 동남구 단대1로 14, 1층 (신부동)",오션카페,커피숍,x,x
223,영업/정상,041-623-0522,충청남도 천안시 동남구 안서동 300번지 외 17필지 주34기숙사(남)동 2층 ,"충청남도 천안시 동남구 상명대길 31, 주34기숙사(남)동 2층 (안서동)",파인트리카페,커피숍,,
224,영업/정상, 041 5651349,충청남도 천안시 동남구 북면 은지리 181번지 ,"충청남도 천안시 동남구 북면 은지2길 38, 1동 1층",맘앤쉐프카페,커피숍,,
225,영업/정상,041 547 9070,충청남도 천안시 서북구 불당동 1289 펜타포트 Mall B동  5층 ,"충청남도 천안시 서북구 공원로 196, 5층 (불당동, 펜타포트 Mall B동)",투썸플레이스씨지브이천안펜타포트점,커피숍,,
226,영업/정상,0507-1327-3754,충청남도 천안시 서북구 불당동 955번지 102호,"충청남도 천안시 서북구 불당11로 16, 1층 102호 (불당동)",스윗아르떼,커피숍,,
227,영업/정상,0507-1409-6746,충청남도 천안시 동남구 신부동 455-2번지 외1필지 ,"충청남도 천안시 동남구 먹거리10길 1, 1,2층 (신부동)",세나클,커피숍,,
228,영업/정상,041 567 0616,충청남도 천안시 동남구 광덕면 대덕리 261-6번지 외1필지 1동 1층 ,,샤론전통찻집,전통찻집,,
229,영업/정상,041 557 7583,충청남도 천안시 동남구 목천읍 동리 193-9번지 1층 ,"충청남도 천안시 동남구 목천읍 동평3길 126, 1층",카페지니스,커피숍,,
230,영업/정상,없음,충청남도 천안시 서북구 성환읍 매주리 21번지 외150필지 ,"충청남도 천안시 서북구 성환읍 대학로 91, 6동 지1층 (학생회관)",블루포트,커피숍,,
231,영업/정상, 041 6210218,충청남도 천안시 서북구 두정동 672-1번지 ,"충청남도 천안시 서북구 오성5길 22, 1층 (두정동)",마음을그리다,커피숍,,
232,영업/정상, 041 5507259,충청남도 천안시 동남구 안서동 522번지 외133필지 단국대학교병원B동 1층 ,"충청남도 천안시 동남구 단대로 119 (안서동,외133필지 단국대학교병원B동 1층)",새날카페단대병원점,커피숍,,
233,영업/정상,041 558 3060,충청남도 천안시 동남구 안서동 274번지 외1필지 1층 ,"충청남도 천안시 동남구 호서대길 5, 1층 (안서동)",꽃소담,커피숍,,
234,영업/정상,041-562-9860,충청남도 천안시 동남구 신방동 783-8번지 보광그랑베르상가 102호,"충청남도 천안시 동남구 신촌1길 16, 102호 (신방동, 보광그랑베르상가)",카페텐타티오,커피숍,,
235,영업/정상,041 521 2249,충청남도 천안시 서북구 불당동 234-1 ,충청남도 천안시 서북구 번영로 156 (불당동),도솔커피숍,커피숍,,
236,영업/정상,041-563-0008,충청남도 천안시 서북구 성성동 511-1 ,"충청남도 천안시 서북구 3공단2로 90-27, 지1층 (성성동)",그라찌에천안성성점,커피숍,,
237,영업/정상, 041 5693390,"충청남도 천안시 서북구 불당동 1618번지 불당동 리앤시티(103,104,105,106호) ","충청남도 천안시 서북구 불당33길 24, 1층 103,104,105,106호 (불당동, 불당동 리앤시티)",스타벅스천안신불당점,커피숍,,
238,영업/정상,041-573-5157,충청남도 천안시 서북구 쌍용동 308-30번지 외4필지 ,"충청남도 천안시 서북구 미라16길 9, 1층 (쌍용동)",커피그레비티,커피숍,,
239,영업/정상,010-3135-8727,충청남도 천안시 동남구 청당동 503번지 1층 105호 ,"충청남도 천안시 동남구 청수9로 1, 1층 105호 (청당동)",커피숲,커피숍,,
240,영업/정상,0507-1482-2236,충청남도 천안시 서북구 두정동 1561번지 ,"충청남도 천안시 서북구 두정중11길 62, 1층 (두정동)",에클레시아,커피숍,,
241,영업/정상,없음,충청남도 천안시 서북구 쌍용동 1086번지 ,"충청남도 천안시 서북구 미라9길 18, 4층 (쌍용동)",씨엔카페,커피숍,,
242,영업/정상,070-4233-7725,"충청남도 천안시 동남구 신방동 62-10번지 1층 101,102호 ","충청남도 천안시 동남구 충무로 158-35, 1층 101,102호 (신방동)",라떼빈,커피숍,,
243,영업/정상,0507-1311-6264,충청남도 천안시 서북구 백석동 1193번지 ,"충청남도 천안시 서북구 한들3로 70, 1층 111호 (백석동, 백석더샵아파트근린생활시설1)",커피베이천안백석점,커피숍,,
244,영업/정상,0507-1331-7998,충청남도 천안시 동남구 청당동 492번지 6층 602호 ,"충청남도 천안시 동남구 청수4로 16, 6층 602호 (청당동)",러블리베베,커피숍,,
245,영업/정상, 041 5226858,충청남도 천안시 동남구 안서동 386번지 외 3필지 2층 ,"충청남도 천안시 동남구 문암로 69, 2층 (안서동)",블랙컨테이너,커피숍,,
246,영업/정상,041 574 0013,충청남도 천안시 서북구 두정동 779번지 1층 ,"충청남도 천안시 서북구 오성6길 52, 1층 (두정동)",할리스커피,커피숍,,
247,영업/정상, 041 6299000,충청남도 천안시 서북구 성거읍 소우리 182-4번지 ,"충청남도 천안시 서북구 성거읍 봉주로 229, J동 1층 (천안인애학교)",천안인애학교해미래드림까페,커피숍,,
248,영업/정상,041 522 5845,"충청남도 천안시 동남구 다가동 355-17번지 1층, 2층 ","충청남도 천안시 동남구 다가5길 43, 1층, 2층 (다가동)",로맨틱투휠,커피숍,,
249,영업/정상,010-4508-0840,충청남도 천안시 서북구 불당동 1613번지 ,"충청남도 천안시 서북구 불당21로 40, 501동 지1층 B115호 (불당동, 천안불당호반써밋플레이스)",로하커피,커피숍,,
250,영업/정상,없음,충청남도 천안시 동남구 신부동 274-1번지 1층 ,"충청남도 천안시 동남구 단대로 93-1, 1층 (신부동)",콤마,커피숍,,
251,영업/정상,041 620 6837,"충청남도 천안시 동남구 목천읍 지산리 167-1번지 외6필지, 1층 ","충청남도 천안시 동남구 목천읍 교천지산길 284-11, 1층",신단수까페,커피숍,,
252,영업/정상,070 88203117,충청남도 천안시 서북구 불당동 1289번지 펜타포트Mall B동 5층 ,"충청남도 천안시 서북구 공원로 196, 5층 (불당동, 펜타포트Mall B동)",할리스펜타포트,커피숍,,
253,영업/정상,041 522 3300,충청남도 천안시 동남구 구성동 455-9번지 1층 ,"충청남도 천안시 동남구 구성6길 2, 1층 (구성동)",토프레소천안구성점,커피숍,,
254,영업/정상,041-548-0069,충청남도 천안시 서북구 불당동 1289번지 펜타포트 Mall B동 5층 ,"충청남도 천안시 서북구 공원로 196, 5층 (불당동, 펜타포트 Mall B동 )",버블톡(펜타포트점),커피숍,,
255,영업/정상,041 550 0183,충청남도 천안시 동남구 안서동 522번지 외133필지 치과대학및부속치과병원 1층 ,"충청남도 천안시 동남구 단대로 119, 1층 (안서동, 치과대학및부속치과병원)",새날카페치대병원점,커피숍,,
256,영업/정상,0507-1384-0036,충청남도 천안시 동남구 목천읍 운전리 535 1층 ,"충청남도 천안시 동남구 목천읍 종합휴양지3길 17, 1층",아나싸장,커피숍,,
257,영업/정상,0507-1386-0184,충청남도 천안시 서북구 백석동 1206번지 ,"충청남도 천안시 서북구 백석공단1로 10, 지1층 지원B128호 (백석동, 천안미래에이스하이테크시티)",카페0124,커피숍,,
258,영업/정상,0507-1320-7002,충청남도 천안시 동남구 봉명동 205-2번지 1층 ,"충청남도 천안시 동남구 양지15길 16, 1층 (봉명동)",페스티벌,커피숍,,
259,영업/정상,041 556 3495,"충청남도 천안시 동남구 청당동 552 1충 109호, 110호, 111호, 112호, 에이스법조타워 ","충청남도 천안시 동남구 청수14로 102, 1층 109호, 110호, 111호, 112호 (청당동)",스타벅스천안청당점,커피숍,,
260,영업/정상, 041 5791558,충청남도 천안시 동남구 봉명동 215-24번지 ,"충청남도 천안시 동남구 천안여상로 19, 1층 (봉명동)",더브농,커피숍,,
261,영업/정상,041-562-0002,충청남도 천안시 서북구 백석동 251번지 천안국민체육센타 1층 ,"충청남도 천안시 서북구 번영로 208, 천안국민체육센타동 1층 (백석동)",로티번,커피숍,,
262,영업/정상,041 572 7858,충청남도 천안시 서북구 성정동 625-3번지 ,"충청남도 천안시 서북구 동서대로 154, 1~2층 (성정동)",스타벅스천안성정디티점,커피숍,,
263,영업/정상, 041 5748485,충청남도 천안시 동남구 용곡동 481-25번지 ,"충청남도 천안시 동남구 새말1길 57-5, 1층 (용곡동)",택스처,커피숍,,
264,영업/정상,0507-1303-7856,충청남도 천안시 서북구 두정동 1310번지 ,"충청남도 천안시 서북구 두정상가8길 21, 1층 101호 (두정동)",3월의달콤함,커피숍,,
265,영업/정상,041 572 7209,충청남도 천안시 서북구 쌍용동 494-17번지 ,"충청남도 천안시 서북구 충무로 155, 2층 204,205호 (쌍용동)",리틀베베키즈카페,키즈카페,,
266,영업/정상,041-574-7779,충청남도 천안시 서북구 쌍용동 1168번지 ,"충청남도 천안시 서북구 미라3길 28, 1동 1층 (쌍용동)",토프레소쌍용점,커피숍,,
267,영업/정상,041-566-2206,"충청남도 천안시 동남구 청당동 155-6번지 외2필지, 1층 ","충청남도 천안시 동남구 남부대로 322, 1층 (청당동)",투썸플레이스천안청당마을점,커피숍,,
268,영업/정상,0507-1305-5013,충청남도 천안시 서북구 쌍용동 573번지 ,"충청남도 천안시 서북구 쌍용16길 66, 1층 (쌍용동)",빈트커피,커피숍,,
269,영업/정상,0507-1318-2939,충청남도 천안시 서북구 직산읍 모시리 237-15번지 ,"충청남도 천안시 서북구 직산읍 4산단7로 34, 1층",카페237,커피숍,,
270,영업/정상,041-523-5559,충청남도 천안시 서북구 두정동 74-11번지 외1필지 ,"충청남도 천안시 서북구 두정로 271, 1층 (두정동)",빽다방천안두정역점,커피숍,,
271,영업/정상,041 552 7894,충청남도 천안시 동남구 목천읍 삼성리 186 지하1층 ,"충청남도 천안시 동남구 목천읍 삼성5길 19, 지하1층",카페오슈오,커피숍,,
272,영업/정상, 041 5627577,충청남도 천안시 서북구 직산읍 양당리 216-10번지 ,"충청남도 천안시 서북구 직산읍 석양길 4, 1동 1층",(주)제이드림지점,커피숍,,
273,영업/정상,010-4232-7845,충청남도 천안시 서북구 불당동 1532번지 ,"충청남도 천안시 서북구 불당25로 178, 3층 302호 (불당동)",아이키친,커피숍,,
274,영업/정상,041 555 5767,충청남도 천안시 동남구 신부동 254-7번지 1층 ,"충청남도 천안시 동남구 단대로 120, 1층 (신부동)",부록하우스,커피숍,,
275,영업/정상,없음,충청남도 천안시 서북구 불당동 720번지 한나프라자 104호,"충청남도 천안시 서북구 검은들3길 38, 한나프라자 (불당동)",스위트박스천안불당점,커피숍,,
276,영업/정상,041 584 5272,충청남도 천안시 서북구 성거읍 문덕리 203-2번지 ,"충청남도 천안시 서북구 성거읍 봉주로 316, 1층",노아목공소카페,커피숍,,
277,영업/정상, 041 5608543,충청남도 천안시 동남구 안서동 268번지 호서대학교 1동 지하1층 ,"충청남도 천안시 동남구 호서대길 12 (안서동, 호서대학교 1동 지하1층)",캔두,커피숍,,
278,영업/정상,041-522-5833,충청남도 천안시 동남구 신부동 219-3번지 도림빌 ,"충청남도 천안시 동남구 단대로 123-8, 1층 (신부동, 도림빌)",단,커피숍,,
279,영업/정상,041 640 5611,충청남도 천안시 동남구 신부동 354-1번지 외61필지 6층 본관2동 ,"충청남도 천안시 동남구 만남로 43, 본관2동 6층 (신부동)",그리다꿈,커피숍,,
280,영업/정상, 041 5654103,충청남도 천안시 동남구 병천면 병천리 205-11 1동 1층 ,"충청남도 천안시 동남구 병천면 아우내순대길 38-5, 1동 1층",토프레소병천점,커피숍,,
281,영업/정상, 041 5641440,충청남도 천안시 동남구 병천면 병천리 168-18 외1필지 ,충청남도 천안시 동남구 병천면 아우내장터3길 4 (외1필지),커피본,커피숍,,
282,영업/정상,041 577 1177,"충청남도 천안시 동남구 신방동 1470번지 1,2층 ","충청남도 천안시 동남구 통정9로 43-10, 1,2층 (신방동)",알리바바천안점,커피숍,,
283,영업/정상,041-522-1098,충청남도 천안시 동남구 구성동 301-4번지 향목그라비스상가 105호,"충청남도 천안시 동남구 충절로 311, 105호 (구성동, 향목그라비스상가)",이디야커피천안구성동점,커피숍,,
284,영업/정상,041-558-0977,충남 천안시 서북구 성정2동 1522 학산리젠다빌2차 B동 101호,충남 천안시 서북구 동서대로 129-20 학산리젠다빌2차 B동 101호,더카페,커피숍,,
